max_min,final_initial,variance,IQR
0.1735516523601466,0.1598917332249217,0.002172738218876702,0.03940306048994502
0.11682075935325978,0.07195923877656682,0.000636954539944164,0.036211107791887964
0.19109180848577448,0.1790217769625189,0.0029686362672714764,0.05395051315687477
0.1878469750412439,0.170959946741054,0.002357909435727132,0.03941909009298633
0.14887747628628312,0.1461006374224848,0.0012524131555948874,0.04165156457718333
0.21886751542227004,0.20533283355311452,0.004048335573350649,0.0588279993725172
0.19853826941427122,0.19853826941427122,0.0017450491348314802,0.034906066931205626
0.2939909833877757,0.2636097490242375,0.006500801201541949,0.0782053601670521
0.31381755208157996,0.2791186230244436,0.010186270897069428,0.1649859022002912
0.14497142942465063,0.1414638088997825,0.0013025206225302337,0.035925328030665726
0.23885290701854978,0.23885290701854978,0.004920477916768988,0.1311120696193352
0.2177578220525944,0.21052715824599041,0.003380469652990842,0.061086889782180964
0.1335275384581693,0.10832585111336299,0.0008121804715780593,0.013116090705499184
0.19128259139970277,0.15577977136913101,0.003189326358272437,0.07220241170127267
0.21979929099267048,0.19555039235913318,0.003503533571715962,0.059949039849780006
0.14419961454507,0.13085569252419718,0.0012933066604668877,0.0251729380065166
0.2548733026106925,0.2415772322978369,0.004741514437168805,0.05442812104979772
0.31585436923720916,0.2399079850144739,0.007724241009030315,0.11244715644022396
0.16340902899627938,0.16340902899627938,0.002666265442978258,0.09749354767182433
0.17227170069383652,0.17227170069383652,0.001643607857809374,0.04808613279821705
0.2427713643338702,0.2284314054465721,0.0041822023125732246,0.05288839659509453
0.22580303955728878,0.22148894276612888,0.00420827268460171,0.09478789243887409
0.1560530662924293,0.14506201852609676,0.0022388952462681594,0.07027351259621795
0.1816624005731725,0.174202119819925,0.002802172293830305,0.07703851507577048
0.20795441764816638,0.17692485912838998,0.002354594055061633,0.020821241716313388
0.100382354199828,0.09465047650602651,0.000561450173408847,0.006288090581303196
0.1877874270284525,0.1507373454808367,0.0022570173047043404,0.03693083473644476
0.1571675461715997,0.12512377790477172,0.0014253220347062161,0.025891024991922973
0.1655778509305455,0.125974668062811,0.0013128525816276644,0.031116622455997556
0.2221549533138698,0.1753066675221327,0.004053058517010005,0.08986532177077494
0.2632983435155449,0.2632836385135571,0.00483451747311622,0.05805817509954847
0.24569640778609772,0.24569640778609772,0.003265567066905096,0.06605747046199895
0.29725858410314837,0.2528486181593266,0.009330576377638742,0.1740188095901356
0.1852049705741618,0.13660106744983003,0.0026956235666834054,0.07490184170751632
0.11722947342006532,0.11712873070442512,0.0007869456975962353,0.013024783908359705
0.0005539312580181976,-0.00035005835299720123,3.7964033221016197e-08,0.0003796146037496062
0.0003351350842085987,0.0001550611924646117,8.991537971449933e-09,0.00016540726046590515
0.0069245219227893895,-0.00013912763307288856,5.215026147479973e-06,0.00419474485434343
0.005240485788901711,0.0024095543360678207,3.5956550888498517e-06,0.0038594472547044123
0.0027520780208016016,0.0015405475206775876,9.506613910310353e-07,0.0018830518288512066
0.005480209454384599,0.005312196790938112,2.458976385830494e-06,0.003059943273288679
0.001261275949596491,0.0012339418658509071,2.045449719894012e-07,0.0008395787949930789
0.002413238962455183,-0.0011239423637094959,4.708759141002136e-07,0.0009843795873385741
0.001443864944795814,-0.0010517532703697152,1.7475028547654211e-07,0.000526059558506542
0.0016921506650214024,0.00037486429085170636,3.365610634803129e-07,0.0010713229677125902
0.001958879601278607,-0.001828379415442699,2.891184626332444e-07,0.000419897485632148
0.0026562257891885044,0.0025952378362331108,5.409981616605022e-07,0.0008571670935139941
0.000503111744113216,-0.00044482657286459837,1.4633225578888577e-08,0.00021309622703818976
